CVE_ESTADO,NOM_ESTADO,CVE_DIAGNO,DES_DIAGNO,CVE_CIE10,ACUMULADO,MENORES_1,DE01_A_04,DE05_A_09,DE10_A_14,DE15_A_19,DE20_A_24,DE25_A_44,DE45_A_49,DE50_A_59,DE60_A_64,DE65_Y_MAS,SE_IGNORAN,SSA,IMSS_ORD,ISSSTE,OTRAS,IMSS_SOL,D_IF,PEMEX,SEDENA,SEDEMAR,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,PERIODO,MENORES_1F,DE01_A_04F,DE05_A_09F,DE10_A_14F,DE15_A_19F,DE20_A_24F,DE25_A_44F,DE45_A_49F,DE50_A_59F,DE60_A_64F,DE65_Y_MAF,SE_IGNORAF,TOTALM,TOTALF,SSAM,IMSS_ORDM,ISSSTEM,OTRASM,IMSS_SOLM,D_IFM,PEMEXM,SEDENAM,SEDEMARM,SSAF,IMSS_ORDF,ISSSTEF,OTRASF,IMSS_SOLF,D_IFF,PEMEXF,SEDENAF,SEDEMARF,ENEROM,FEBREROM,MARZOM,ABRILM,MAYOM,JUNIOM,JULIOM,AGOSTOM,SEPTIEMBRM,OCTUBREM,NOVIEMBREM,DICIEMBREM,ENEROF,FEBREROF,MARZOF,ABRILF,MAYOF,JUNIOF,JULIOF,AGOSTOF,SEPTIEMBRF,OCTUBREF,NOVIEMBREF,DICIEMBREF
1,AGUASCALIENTES,1,Cólera,A00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,2,Amebiasis intestinal,"A06.0-A06.3, A06.9",3236,53,243,197,170,106,146,297,80,95,37,58,0,822,1075,51,1216,0,4,0,68,0,223,196,308,214,410,290,254,455,236,179,326,145,2017,61,221,190,152,149,162,447,106,155,56,55,0,1482,1754,330,526,17,573,0,1,0,35,0,492,549,34,643,0,3,0,33,0,113,97,154,94,181,143,117,201,102,66,151,63,110,99,154,120,229,147,137,254,134,113,175,82
1,AGUASCALIENTES,5,Shigelosis,A03,39,0,0,2,0,1,3,4,3,1,0,1,0,5,0,2,32,0,0,0,0,0,2,0,27,2,0,2,2,4,0,0,0,0,2017,3,0,4,0,0,4,5,3,3,0,2,0,15,24,0,0,1,14,0,0,0,0,0,5,0,1,18,0,0,0,0,0,0,0,9,2,0,1,1,2,0,0,0,0,2,0,18,0,0,1,1,2,0,0,0,0
1,AGUASCALIENTES,6,Fiebre tifoidea,A01.0,287,0,0,4,6,10,16,31,8,7,1,8,0,52,0,0,235,0,0,0,0,0,32,21,30,32,32,15,15,28,17,19,32,14,2017,1,1,5,9,25,29,73,22,18,5,8,0,91,196,12,0,0,79,0,0,0,0,0,40,0,0,156,0,0,0,0,0,17,6,9,8,10,2,1,7,3,7,16,5,15,15,21,24,22,13,14,21,14,12,16,9
1,AGUASCALIENTES,7,Giardiasis,A07.1,74,0,9,9,4,3,3,1,0,1,0,0,0,17,3,3,51,0,0,0,0,0,5,5,12,8,9,5,3,6,2,5,10,4,2017,4,8,7,6,3,6,5,2,1,1,1,0,30,44,7,3,2,18,0,0,0,0,0,10,0,1,33,0,0,0,0,0,3,1,3,3,6,3,1,3,1,0,4,2,2,4,9,5,3,2,2,3,1,5,6,2
1,AGUASCALIENTES,8,Infecciones intestinales por otros organismos y las mal definidas,"A04, A08-A09 excepto A08.0",105768,2971,8690,5725,4332,3445,5333,12747,2866,2925,1252,1915,0,13650,48136,2605,41314,0,54,0,9,0,5974,6574,9774,8520,12477,9925,9445,13950,8749,7237,8421,4722,2017,2651,7647,5263,3799,3642,5062,13327,3356,4390,1700,2730,0,52201,53567,6423,22852,1051,21849,0,20,0,6,0,7227,25284,1554,19465,0,34,0,3,0,2974,3245,4991,4131,6184,4938,4660,6735,4287,3492,4199,2365,3000,3329,4783,4389,6293,4987,4785,7215,4462,3745,4222,2357
1,AGUASCALIENTES,178,Fiebre paratifoidea,A01.1-A01.4,108,0,1,1,3,1,6,12,3,3,3,2,0,5,0,0,102,0,1,0,0,0,5,12,11,7,8,10,13,18,3,7,14,0,2017,0,2,1,2,11,8,21,8,13,4,3,0,35,73,0,0,0,35,0,0,0,0,0,5,0,0,67,0,1,0,0,0,1,3,2,4,4,2,4,5,1,3,6,0,4,9,9,3,4,8,9,13,2,4,8,0
1,AGUASCALIENTES,93,Otras infecciones intestinales debidas a protozoarios,"A07.0, A07.2, A07.9",485,9,25,19,15,24,25,69,22,16,4,8,0,126,1,197,161,0,0,0,0,0,20,6,52,24,65,31,31,74,52,34,55,41,2017,12,33,23,31,19,14,54,17,21,13,12,0,236,249,101,0,64,71,0,0,0,0,0,25,1,133,90,0,0,0,0,0,12,2,22,16,23,12,13,53,27,13,20,23,8,4,30,8,42,19,18,21,25,21,35,18
2,BAJA CALIFORNIA,1,Cólera,A00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BAJA CALIFORNIA,2,Amebiasis intestinal,"A06.0-A06.3, A06.9",1177,21,81,96,73,35,37,119,33,36,10,25,1,111,460,222,375,8,0,0,0,1,71,81,142,129,160,98,74,117,72,83,107,43,2017,14,72,63,69,30,44,166,35,64,21,32,0,567,610,36,235,106,186,3,0,0,0,1,75,225,116,189,5,0,0,0,0,40,41,70,75,72,41,27,58,29,41,53,20,31,40,72,54,88,57,47,59,43,42,54,23
2,BAJA CALIFORNIA,5,Shigelosis,A03,51,1,3,0,2,5,4,5,1,2,2,0,0,12,3,0,34,2,0,0,0,0,0,0,7,8,13,5,1,7,5,1,2,2,2017,2,1,2,1,3,4,6,2,3,0,2,0,25,26,6,1,0,18,0,0,0,0,0,6,2,0,16,2,0,0,0,0,0,0,4,3,7,2,0,4,3,1,1,0,0,0,3,5,6,3,1,3,2,0,1,2
2,BAJA CALIFORNIA,6,Fiebre tifoidea,A01.0,1164,0,4,18,47,33,61,126,39,38,9,10,0,256,66,76,740,25,0,0,1,0,58,59,109,139,151,123,83,106,78,116,91,51,2017,0,7,24,57,82,105,273,77,92,18,44,0,385,779,71,18,23,269,4,0,0,0,0,185,48,53,471,21,0,0,1,0,14,20,32,48,58,36,29,38,25,32,38,15,44,39,77,91,93,87,54,68,53,84,53,36
2,BAJA CALIFORNIA,7,Giardiasis,A07.1,88,0,5,7,10,4,6,3,1,3,1,0,0,31,35,4,16,2,0,0,0,0,2,13,10,3,6,17,3,4,9,9,6,6,2017,2,8,9,5,2,1,14,1,1,1,4,0,40,48,13,19,1,6,1,0,0,0,0,18,16,3,10,1,0,0,0,0,1,3,4,0,4,9,0,3,6,5,2,3,1,10,6,3,2,8,3,1,3,4,4,3
2,BAJA CALIFORNIA,8,Infecciones intestinales por otros organismos y las mal definidas,"A04, A08-A09 excepto A08.0",169024,3180,11464,8733,6733,6060,7542,17764,5074,5388,2377,3249,28,14307,75629,5546,71480,1461,0,0,203,398,8588,12605,18210,19601,23522,14156,10768,14116,11454,12861,14778,8365,2017,3108,10862,8851,6672,6822,9207,22817,6313,8177,3432,5149,22,77592,91432,6387,33639,2145,34417,710,0,0,95,199,7920,41990,3401,37063,751,0,0,108,199,4167,5958,8494,8943,10661,6452,4935,6422,5209,5835,6688,3828,4421,6647,9716,10658,12861,7704,5833,7694,6245,7026,8090,4537
2,BAJA CALIFORNIA,178,Fiebre paratifoidea,A01.1-A01.4,223,1,1,2,4,5,5,26,10,9,3,2,0,80,58,6,79,0,0,0,0,0,14,13,16,17,21,18,25,35,16,15,24,9,2017,0,4,9,7,15,17,47,10,27,4,15,0,68,155,27,11,2,28,0,0,0,0,0,53,47,4,51,0,0,0,0,0,0,5,5,8,5,6,10,13,3,2,9,2,14,8,11,9,16,12,15,22,13,13,15,7
2,BAJA CALIFORNIA,93,Otras infecciones intestinales debidas a protozoarios,"A07.0, A07.2, A07.9",350,5,53,21,28,14,9,22,9,7,2,3,0,195,0,13,59,76,0,0,4,3,10,17,32,43,47,19,20,25,36,24,23,54,2017,11,41,26,20,13,13,30,7,4,2,10,0,173,177,87,0,5,40,40,0,0,1,0,108,0,8,19,36,0,0,3,3,6,6,17,15,25,9,14,10,19,14,10,28,4,11,15,28,22,10,6,15,17,10,13,26
3,BAJA CALIFORNIA SUR,1,Cólera,A00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BAJA CALIFORNIA SUR,2,Amebiasis intestinal,"A06.0-A06.3, A06.9",1523,31,147,105,82,55,44,134,29,41,9,25,0,247,424,277,567,8,0,0,0,0,118,101,186,137,139,136,108,105,139,173,116,65,2017,29,126,108,80,53,59,189,56,71,15,35,0,702,821,101,219,120,260,2,0,0,0,0,146,205,157,307,6,0,0,0,0,44,46,85,51,77,67,53,55,70,74,52,28,74,55,101,86,62,69,55,50,69,99,64,37
