CVE_ESTADO,NOM_ESTADO,CLAVE_MUN,NOM_MUN,AMBITO,POB_TOTAL,PCT_POBREZA,PCT_Carencia_Servicios_Basicos_Vivienda,PCT_Carencia_Calidad_Espacio_Vivienda,PCT_Carencia_Servicios_Salud
1,Aguascalientes,1001,Aguascalientes,Ámbito de residencia: rural,57655,23.680018,,,33.045771
1,Aguascalientes,1002,Asientos,Ámbito de residencia: rural,31237,35.730962,9.759089,8.780855,18.113115
1,Aguascalientes,1003,Calvillo,Ámbito de residencia: rural,22062,37.998591,,,16.877034
1,Aguascalientes,1004,Cosío,Ámbito de residencia: rural,7908,25.506438,5.719143,8.782096,15.467311
1,Aguascalientes,1005,Jesús María,Ámbito de residencia: rural,36998,,,,13.725051
1,Aguascalientes,1006,Pabellón de Arteaga,Ámbito de residencia: rural,12872,20.575126,,,29.215001
1,Aguascalientes,1007,Rincón de Romos,Ámbito de residencia: rural,16820,31.401134,13.531387,10.864154,23.409924
1,Aguascalientes,1008,San José de Gracia,Ámbito de residencia: rural,4678,42.953706,,3.320084,
1,Aguascalientes,1009,Tepezalá,Ámbito de residencia: rural,13264,27.164304,,7.413912,17.815996
1,Aguascalientes,1010,El Llano,Ámbito de residencia: rural,16152,36.210514,9.939224,9.21573,23.986868
1,Aguascalientes,1011,San Francisco de los Romo,Ámbito de residencia: rural,10981,,,,28.903617
2,Baja California,2001,Ensenada,Ámbito de residencia: rural,45316,19.214363,,,35.209006
2,Baja California,2002,Mexicali,Ámbito de residencia: rural,79293,19.26118,,,24.026152
2,Baja California,2003,Tecate,Ámbito de residencia: rural,18661,,,,23.288455
2,Baja California,2004,Tijuana,Ámbito de residencia: rural,6793,,61.963578,,28.628678
2,Baja California,2005,Playas de Rosarito,Ámbito de residencia: rural,13024,,,,27.495576
2,Baja California,2006,San Quintín,Ámbito de residencia: rural,21758,27.593172,,,41.40284
3,Baja California Sur,3001,Comondú,Ámbito de residencia: rural,16743,40.447985,,,
3,Baja California Sur,3002,Mulegé,Ámbito de residencia: rural,24259,16.369887,,,17.508031
3,Baja California Sur,3003,La Paz,Ámbito de residencia: rural,26819,25.88978,,,
3,Baja California Sur,3008,Los Cabos,Ámbito de residencia: rural,13474,17.251165,,9.841043,24.459187
3,Baja California Sur,3009,Loreto,Ámbito de residencia: rural,4199,46.233957,,,
4,Campeche,4001,Calkiní,Ámbito de residencia: rural,15805,75.435884,81.33576,24.748534,15.970298
4,Campeche,4002,Campeche,Ámbito de residencia: rural,32602,57.502509,54.392756,11.729086,
4,Campeche,4003,Carmen,Ámbito de residencia: rural,37784,66.460759,75.947482,26.226486,31.145458
4,Campeche,4004,Champotón,Ámbito de residencia: rural,20436,57.740933,76.468096,19.237706,17.269002
4,Campeche,4005,Hecelchakán,Ámbito de residencia: rural,11016,84.004114,84.32477,11.666196,
4,Campeche,4006,Hopelchén,Ámbito de residencia: rural,29788,78.147829,65.979864,12.820052,31.08011
4,Campeche,4007,Palizada,Ámbito de residencia: rural,6180,62.860127,66.757493,24.79564,
4,Campeche,4008,Tenabo,Ámbito de residencia: rural,2677,50.193387,,14.661988,31.783835
4,Campeche,4009,Escárcega,Ámbito de residencia: rural,23196,78.872566,82.595169,23.22764,20.444025
4,Campeche,4010,Calakmul,Ámbito de residencia: rural,31552,85.790355,77.959625,19.105012,20.18184
4,Campeche,4011,Candelaria,Ámbito de residencia: rural,44376,85.880747,81.279832,27.688975,23.702378
5,Coahuila de Zaragoza,5001,Abasolo,Ámbito de residencia: rural,1019,,,,41.490433
5,Coahuila de Zaragoza,5002,Acuña,Ámbito de residencia: rural,3475,27.21027,,6.273398,35.428826
5,Coahuila de Zaragoza,5003,Allende,Ámbito de residencia: rural,1491,,,,
5,Coahuila de Zaragoza,5004,Arteaga,Ámbito de residencia: rural,15730,35.321449,,6.896023,56.657937
5,Coahuila de Zaragoza,5005,Candela,Ámbito de residencia: rural,1639,33.390536,,7.381703,17.602524
5,Coahuila de Zaragoza,5006,Castaños,Ámbito de residencia: rural,3174,47.403755,91.656417,,27.959193
5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Ámbito de residencia: rural,3106,58.048444,65.960629,,57.386935
5,Coahuila de Zaragoza,5008,Escobedo,Ámbito de residencia: rural,3039,29.066823,14.132977,,33.979285
5,Coahuila de Zaragoza,5009,Francisco I. Madero,Ámbito de residencia: rural,29894,29.460841,,,30.379603
5,Coahuila de Zaragoza,5010,Frontera,Ámbito de residencia: rural,6448,,,,24.472965
5,Coahuila de Zaragoza,5011,General Cepeda,Ámbito de residencia: rural,6246,39.014982,9.062327,5.660644,32.069551
5,Coahuila de Zaragoza,5012,Guerrero,Ámbito de residencia: rural,1639,23.831111,6.15873,10.095238,16.253968
5,Coahuila de Zaragoza,5013,Hidalgo,Ámbito de residencia: rural,1731,24.145388,,,47.892486
5,Coahuila de Zaragoza,5014,Jiménez,Ámbito de residencia: rural,5818,25.075741,14.027477,9.074476,17.443962
5,Coahuila de Zaragoza,5015,Juárez,Ámbito de residencia: rural,1580,29.37866,,5.204945,30.058556
5,Coahuila de Zaragoza,5016,Lamadrid,Ámbito de residencia: rural,1760,,,,13.151659
5,Coahuila de Zaragoza,5017,Matamoros,Ámbito de residencia: rural,43163,22.21144,,,25.640675
5,Coahuila de Zaragoza,5018,Monclova,Ámbito de residencia: rural,774,,,14.529881,
5,Coahuila de Zaragoza,5019,Morelos,Ámbito de residencia: rural,1142,,21.370604,,
5,Coahuila de Zaragoza,5020,Múzquiz,Ámbito de residencia: rural,3234,,31.713115,,
5,Coahuila de Zaragoza,5021,Nadadores,Ámbito de residencia: rural,2208,,,4.47406,
5,Coahuila de Zaragoza,5022,Nava,Ámbito de residencia: rural,1261,,,,
5,Coahuila de Zaragoza,5023,Ocampo,Ámbito de residencia: rural,6252,28.015222,,5.955169,7.527601
5,Coahuila de Zaragoza,5024,Parras,Ámbito de residencia: rural,8252,44.296749,,11.085846,
5,Coahuila de Zaragoza,5025,Piedras Negras,Ámbito de residencia: rural,1747,,9.292488,,42.254175
5,Coahuila de Zaragoza,5026,Progreso,Ámbito de residencia: rural,3231,27.732695,,4.242424,19.202552
5,Coahuila de Zaragoza,5027,Ramos Arizpe,Ámbito de residencia: rural,8176,35.561393,62.44573,6.174698,40.949904
5,Coahuila de Zaragoza,5028,Sabinas,Ámbito de residencia: rural,2962,,,,30.842236
5,Coahuila de Zaragoza,5029,Sacramento,Ámbito de residencia: rural,2465,,4.130435,,24.086957
5,Coahuila de Zaragoza,5030,Saltillo,Ámbito de residencia: rural,18069,47.358912,53.496278,7.987505,35.124297
5,Coahuila de Zaragoza,5031,San Buenaventura,Ámbito de residencia: rural,1201,,,,
5,Coahuila de Zaragoza,5032,San Juan de Sabinas,Ámbito de residencia: rural,2073,,,,17.733458
5,Coahuila de Zaragoza,5033,San Pedro,Ámbito de residencia: rural,42965,45.278948,,,37.932586
5,Coahuila de Zaragoza,5034,Sierra Mojada,Ámbito de residencia: rural,1671,36.270115,,,
5,Coahuila de Zaragoza,5035,Torreón,Ámbito de residencia: rural,24034,27.22402,,,34.023161
5,Coahuila de Zaragoza,5036,Viesca,Ámbito de residencia: rural,17908,41.562071,10.10352,6.134151,35.838555
5,Coahuila de Zaragoza,5037,Villa Unión,Ámbito de residencia: rural,960,,,,20.295983
5,Coahuila de Zaragoza,5038,Zaragoza,Ámbito de residencia: rural,3264,,15.612244,11.625573,7.823914
6,Colima,6001,Armería,Ámbito de residencia: rural,6402,41.129671,35.546716,15.452155,8.861011
6,Colima,6002,Colima,Ámbito de residencia: rural,11840,36.118035,25.429313,10.642528,
6,Colima,6003,Comala,Ámbito de residencia: rural,10756,53.202101,53.024185,14.368656,10.950849
6,Colima,6004,Coquimatlán,Ámbito de residencia: rural,7979,39.165593,36.896717,11.061826,26.003038
6,Colima,6005,Cuauhtémoc,Ámbito de residencia: rural,9388,19.263972,,,19.948952
6,Colima,6006,Ixtlahuacán,Ámbito de residencia: rural,3371,45.724295,44.112877,12.195913,
6,Colima,6007,Manzanillo,Ámbito de residencia: rural,13954,,,,
6,Colima,6008,Minatitlán,Ámbito de residencia: rural,5356,29.506449,51.8844,,
6,Colima,6009,Tecomán,Ámbito de residencia: rural,12487,34.798571,60.042137,20.386537,23.859991
6,Colima,6010,Villa de Álvarez,Ámbito de residencia: rural,2767,45.733718,51.908997,15.375933,
7,Chiapas,7001,Acacoyagua,Ámbito de residencia: rural,12248,73.356477,82.486178,15.045103,45.729805
7,Chiapas,7002,Acala,Ámbito de residencia: rural,5278,85.436946,83.25896,35.40989,34.164274
7,Chiapas,7003,Acapetahua,Ámbito de residencia: rural,26017,58.31037,66.339032,15.611906,47.705962
7,Chiapas,7004,Altamirano,Ámbito de residencia: rural,24242,97.370731,75.930339,16.915267,34.484306
7,Chiapas,7005,Amatán,Ámbito de residencia: rural,20774,90.367944,91.488772,26.169364,
7,Chiapas,7006,Amatenango de la Frontera,Ámbito de residencia: rural,24332,77.027761,55.55701,12.294189,33.260954
7,Chiapas,7007,Amatenango del Valle,Ámbito de residencia: rural,5268,95.757968,77.380722,49.005215,
7,Chiapas,7008,Ángel Albino Corzo,Ámbito de residencia: rural,9842,89.407014,73.302481,24.963866,35.901702
7,Chiapas,7009,Arriaga,Ámbito de residencia: rural,13709,61.27979,58.960706,,52.15329
7,Chiapas,7010,Bejucal de Ocampo,Ámbito de residencia: rural,7437,93.875665,46.257669,18.009543,25.330607
7,Chiapas,7011,Bella Vista,Ámbito de residencia: rural,19652,82.618138,67.237465,13.067333,11.415418
7,Chiapas,7012,Berriozábal,Ámbito de residencia: rural,34610,63.682536,80.173666,23.357282,54.8059
7,Chiapas,7013,Bochil,Ámbito de residencia: rural,19329,90.492106,82.651493,35.159619,48.978925
7,Chiapas,7014,El Bosque,Ámbito de residencia: rural,12622,95.19653,71.852093,36.390292,
7,Chiapas,7015,Cacahoatán,Ámbito de residencia: rural,15152,86.593767,56.187631,,60.936347
7,Chiapas,7016,Catazajá,Ámbito de residencia: rural,18831,68.695657,87.756237,16.319117,49.912992
7,Chiapas,7017,Cintalapa,Ámbito de residencia: rural,35426,82.132756,81.981674,,
7,Chiapas,7018,Coapilla,Ámbito de residencia: rural,7257,82.112976,64.273625,35.754584,19.478138
7,Chiapas,7019,Comitán de Domínguez,Ámbito de residencia: rural,38773,79.292538,64.811517,8.105235,35.852327
7,Chiapas,7020,La Concordia,Ámbito de residencia: rural,35330,72.685936,75.83191,20.926657,28.451689
7,Chiapas,7021,Copainalá,Ámbito de residencia: rural,15823,78.176538,72.320634,,24.265325
7,Chiapas,7022,Chalchihuitán,Ámbito de residencia: rural,22131,98.869168,97.244912,64.06387,24.574277
7,Chiapas,7023,Chamula,Ámbito de residencia: rural,98603,96.293576,73.700683,42.612417,18.832454
7,Chiapas,7024,Chanal,Ámbito de residencia: rural,4182,98.734441,98.983387,59.236301,12.298537
7,Chiapas,7025,Chapultenango,Ámbito de residencia: rural,3733,87.054144,93.78453,51.961326,19.447514
7,Chiapas,7026,Chenalhó,Ámbito de residencia: rural,43370,99.058974,93.86199,55.458921,20.456062
7,Chiapas,7027,Chiapa de Corzo,Ámbito de residencia: rural,38625,65.566521,58.694517,22.726884,46.647335
7,Chiapas,7028,Chiapilla,Ámbito de residencia: rural,3128,83.128365,55.252791,33.15824,17.695338
7,Chiapas,7029,Chicoasén,Ámbito de residencia: rural,1372,86.968657,91.044776,30.970149,
7,Chiapas,7030,Chicomuselo,Ámbito de residencia: rural,25039,79.60697,75.059918,22.986603,24.365883
7,Chiapas,7031,Chilón,Ámbito de residencia: rural,114759,96.952143,96.407489,28.873873,30.505146
7,Chiapas,7032,Escuintla,Ámbito de residencia: rural,20853,74.723087,69.050119,21.761535,39.053093
7,Chiapas,7033,Francisco León,Ámbito de residencia: rural,7316,86.514946,78.510998,37.450649,21.912014
7,Chiapas,7034,Frontera Comalapa,Ámbito de residencia: rural,58835,77.686004,57.886926,13.184804,51.351214
7,Chiapas,7035,Frontera Hidalgo,Ámbito de residencia: rural,6997,60.736606,81.972702,21.376627,47.41295
7,Chiapas,7036,La Grandeza,Ámbito de residencia: rural,7777,88.429921,15.11811,20.328084,14.593176
7,Chiapas,7037,Huehuetán,Ámbito de residencia: rural,23478,48.670977,84.453841,18.00115,49.519599
7,Chiapas,7038,Huixtán,Ámbito de residencia: rural,22207,96.647549,74.054359,17.736385,20.520132
7,Chiapas,7039,Huitiupán,Ámbito de residencia: rural,23887,95.510109,95.690711,39.299519,48.330712
7,Chiapas,7040,Huixtla,Ámbito de residencia: rural,21173,49.454926,78.512014,15.634334,53.053972
7,Chiapas,7041,La Independencia,Ámbito de residencia: rural,33375,92.562658,70.136098,11.223137,
7,Chiapas,7042,Ixhuatán,Ámbito de residencia: rural,8949,84.632491,75.553244,,
7,Chiapas,7043,Ixtacomitán,Ámbito de residencia: rural,8035,66.605473,73.115002,15.216029,
7,Chiapas,7044,Ixtapa,Ámbito de residencia: rural,23636,88.939026,75.487791,22.244858,
7,Chiapas,7045,Ixtapangajoya,Ámbito de residencia: rural,6346,71.906619,76.998689,27.899738,34.518349
